query,_id,_score,genomic_pos,notfound,length
LAMP5,24141,17.652494,"{'chr': '20', 'end': 9530524, 'ensemblgene': 'ENSG00000125869', 'start': 9514358, 'strand': 1}",,16166.0
DGCR5,26220,26.409512,"{'chr': '22', 'end': 19031242, 'ensemblgene': 'ENSG00000273032', 'start': 18969692, 'strand': 1}",,61550.0
ZNF280B,140883,19.958395,"[{'chr': 'HSCHR22_1_CTG3', 'end': 144811, 'ensemblgene': 'ENSG00000277421', 'start': 120078, 'strand': -1}, {'chr': '22', 'end': 22508742, 'ensemblgene': 'ENSG00000275004', 'start': 22484421, 'strand': -1}]",,
SLC2A11,66035,18.901007,"[{'chr': 'HSCHR22_1_CTG7', 'end': 122671, 'ensemblgene': 'ENSG00000275744', 'start': 93065, 'strand': 1}, {'chr': '22', 'end': 23886312, 'ensemblgene': 'ENSG00000133460', 'start': 23856703, 'strand': 1}]",,
REV1,51455,16.960268,"{'chr': '2', 'end': 99490035, 'ensemblgene': 'ENSG00000135945', 'start': 99400475, 'strand': -1}",,89560.0
MRPS9,64965,16.991283,"{'chr': '2', 'end': 105099960, 'ensemblgene': 'ENSG00000135972', 'start': 105038069, 'strand': 1}",,61891.0
TANC1,85461,18.143782,"{'chr': '2', 'end': 159232659, 'ensemblgene': 'ENSG00000115183', 'start': 158968640, 'strand': 1}",,264019.0
WDSUB1,151525,17.5676,"{'chr': '2', 'end': 159286703, 'ensemblgene': 'ENSG00000196151', 'start': 159235798, 'strand': -1}",,50905.0
FASTKD1,79675,17.63514,"{'chr': '2', 'end': 169573875, 'ensemblgene': 'ENSG00000138399', 'start': 169528508, 'strand': -1}",,45367.0
SP5,389058,18.34499,"{'chr': '2', 'end': 170718078, 'ensemblgene': 'ENSG00000204335', 'start': 170715337, 'strand': 1}",,2741.0
CEBPZ,10153,17.601002,"{'chr': '2', 'end': 37231596, 'ensemblgene': 'ENSG00000115816', 'start': 37201612, 'strand': -1}",,29984.0
ABCG8,64241,17.617977,"{'chr': '2', 'end': 43882988, 'ensemblgene': 'ENSG00000143921', 'start': 43831942, 'strand': 1}",,51046.0
ANKRD36B,57730,27.201292,"[{'chr': '2', 'end': 97589877, 'ensemblgene': 'ENSG00000196912', 'start': 97492663, 'strand': -1}, {'chr': 'HG2275_PATCH', 'end': 515908, 'ensemblgene': 'ENSG00000291600', 'start': 418694, 'strand': -1}]",,
POLQ,10721,17.59258,"{'chr': '3', 'end': 121545988, 'ensemblgene': 'ENSG00000051341', 'start': 121431431, 'strand': -1}",,114557.0
PIK3R4,30849,17.590485,"{'chr': '3', 'end': 130746829, 'ensemblgene': 'ENSG00000196455', 'start': 130678934, 'strand': -1}",,67895.0
PPP2R3A,5523,17.705757,"{'chr': '3', 'end': 136147894, 'ensemblgene': 'ENSG00000073711', 'start': 135965728, 'strand': 1}",,182166.0
HTR3D,200909,22.018024,"{'chr': '3', 'end': 184039369, 'ensemblgene': 'ENSG00000186090', 'start': 184031544, 'strand': 1}",,7825.0
IMPDH2,3615,17.551165,"{'chr': '3', 'end': 49029447, 'ensemblgene': 'ENSG00000178035', 'start': 49024325, 'strand': -1}",,5122.0
OGG1,4968,17.007027,"{'chr': '3', 'end': 9788219, 'ensemblgene': 'ENSG00000114026', 'start': 9749944, 'strand': 1}",,38275.0
MAML3,55534,17.63946,"{'chr': '4', 'end': 140154184, 'ensemblgene': 'ENSG00000196782', 'start': 139716753, 'strand': -1}",,437431.0
INPP4B,8821,17.613714,"{'chr': '4', 'end': 142847432, 'ensemblgene': 'ENSG00000109452', 'start': 142023160, 'strand': -1}",,824272.0
FBXW7,55294,17.617977,"{'chr': '4', 'end': 152536092, 'ensemblgene': 'ENSG00000109670', 'start': 152320544, 'strand': -1}",,215548.0
STOX2,56977,18.198654,"{'chr': '4', 'end': 184023526, 'ensemblgene': 'ENSG00000173320', 'start': 183797692, 'strand': 1}",,225834.0
TLR3,7098,17.605227,"{'chr': '4', 'end': 186088073, 'ensemblgene': 'ENSG00000164342', 'start': 186068911, 'strand': 1}",,19162.0
SPATA18,132671,17.590485,"{'chr': '4', 'end': 52097299, 'ensemblgene': 'ENSG00000163071', 'start': 52051304, 'strand': 1}",,45995.0
PRDM8,56978,18.3213,"{'chr': '4', 'end': 80204329, 'ensemblgene': 'ENSG00000152784', 'start': 80183879, 'strand': 1}",,20450.0
FGF5,2250,17.672253,"{'chr': '4', 'end': 80336680, 'ensemblgene': 'ENSG00000138675', 'start': 80266639, 'strand': 1}",,70041.0
HNRNPDL,9987,18.009039,"{'chr': '4', 'end': 82430462, 'ensemblgene': 'ENSG00000152795', 'start': 82422565, 'strand': -1}",,7897.0
C4orf36,132989,23.074274,"[{'chr': '4', 'end': 86936178, 'ensemblgene': 'ENSG00000285458', 'start': 86886472, 'strand': -1}, {'chr': '4', 'end': 86892422, 'ensemblgene': 'ENSG00000163633', 'start': 86876205, 'strand': -1}]",,
PCDHB10,56126,22.018024,"[{'chr': '5', 'end': 141195647, 'ensemblgene': 'ENSG00000120324', 'start': 141192353, 'strand': 1}, {'chr': 'HG2308_PATCH', 'end': 430823, 'ensemblgene': 'ENSG00000291689', 'start': 427529, 'strand': 1}]",,
PCDHB11,56125,22.871815,"[{'chr': '5', 'end': 141203779, 'ensemblgene': 'ENSG00000197479', 'start': 141199610, 'strand': 1}, {'chr': 'HG2308_PATCH', 'end': 438955, 'ensemblgene': 'ENSG00000291690', 'start': 434786, 'strand': 1}]",,
PCDHGA2,56113,22.53228,"{'chr': '5', 'end': 141512975, 'ensemblgene': 'ENSG00000081853', 'start': 141338760, 'strand': 1}",,174215.0
SLC45A2,51151,17.603113,"[{'chr': '5', 'end': 33984693, 'ensemblgene': 'ENSG00000164175', 'start': 33944623, 'strand': -1}, {'chr': 'HSCHR5_6_CTG1', 'end': 155826, 'ensemblgene': 'ENSG00000281919', 'start': 145938, 'strand': -1}]",,
POLK,51426,17.605227,"{'chr': '5', 'end': 75609991, 'ensemblgene': 'ENSG00000122008', 'start': 75511845, 'strand': 1}",,98146.0
CMYA5,202333,17.728502,"{'chr': '5', 'end': 79800240, 'ensemblgene': 'ENSG00000164309', 'start': 79689836, 'strand': 1}",,110404.0
ZDHHC11,79844,19.166615,"{'chr': '5', 'end': 858973, 'ensemblgene': 'ENSG00000188818', 'start': 795605, 'strand': -1}",,63368.0
RGMB,285704,17.632984,"{'chr': '5', 'end': 98798643, 'ensemblgene': 'ENSG00000174136', 'start': 98768650, 'strand': 1}",,29993.0
RSPH4A,345895,17.590485,"{'chr': '6', 'end': 116632985, 'ensemblgene': 'ENSG00000111834', 'start': 116616479, 'strand': 1}",,16506.0
BCLAF1,9774,18.22368,"{'chr': '6', 'end': 136289851, 'ensemblgene': 'ENSG00000029363', 'start': 136256627, 'strand': -1}",,33224.0
HFE,3077,19.318697,"{'chr': '6', 'end': 26098343, 'ensemblgene': 'ENSG00000010704', 'start': 26087226, 'strand': 1}",,11117.0
RGL2,5863,18.0256,"[{'chr': 'HSCHR6_MHC_MCF_CTG1', 'end': 4735260, 'ensemblgene': 'ENSG00000228736', 'start': 4727590, 'strand': -1}, {'chr': 'HSCHR6_MHC_QBL_CTG1', 'end': 4493745, 'ensemblgene': 'ENSG00000206282', 'start': 4486078, 'strand': -1}, {'chr': '6', 'end': 33298942, 'ensemblgene': 'ENSG00000237441', 'start': 33291654, 'strand': -1}, {'chr': 'HSCHR6_MHC_COX_CTG1', 'end': 4710809, 'ensemblgene': 'ENSG00000224841', 'start': 4703139, 'strand': -1}, {'chr': 'HSCHR6_MHC_DBB_CTG1', 'end': 4542842, 'ensemblgene': 'ENSG00000237825', 'start': 4535172, 'strand': -1}]",,
MRPS10,55173,16.985598,"{'chr': '6', 'end': 42217861, 'ensemblgene': 'ENSG00000048544', 'start': 42206694, 'strand': -1}",,11167.0
TDRD6,221400,18.207993,"{'chr': '6', 'end': 46704319, 'ensemblgene': 'ENSG00000180113', 'start': 46687875, 'strand': 1}",,16444.0
TFAP2B,7021,17.690031,"{'chr': '6', 'end': 50847619, 'ensemblgene': 'ENSG00000008196', 'start': 50818723, 'strand': 1}",,28896.0
KMT2C,58508,18.204874,"{'chr': '7', 'end': 152436644, 'ensemblgene': 'ENSG00000055609', 'start': 152134922, 'strand': -1}",,301722.0
CDK13,8621,17.632984,"{'chr': '7', 'end': 40099580, 'ensemblgene': 'ENSG00000065883', 'start': 39950121, 'strand': 1}",,149459.0
GTF2IRD2P1,401375,8.7746105,"{'chr': '7', 'end': 73280119, 'ensemblgene': 'ENSG00000214544', 'start': 73243271, 'strand': -1}",,36848.0
SEMA3D,223117,17.63514,"{'chr': '7', 'end': 85187056, 'ensemblgene': 'ENSG00000153993', 'start': 84995553, 'strand': -1}",,191503.0
KIFC2,90990,18.940563,"{'chr': '8', 'end': 144474202, 'ensemblgene': 'ENSG00000167702', 'start': 144466043, 'strand': 1}",,8159.0
DENND1A,57706,17.687798,"{'chr': '9', 'end': 123930152, 'ensemblgene': 'ENSG00000119522', 'start': 123379654, 'strand': -1}",,550498.0
MRPL41,64975,17.037535,"{'chr': '9', 'end': 137552555, 'ensemblgene': 'ENSG00000182154', 'start': 137551879, 'strand': 1}",,676.0
FBP1,2203,18.564438,"{'chr': '9', 'end': 94640249, 'ensemblgene': 'ENSG00000165140', 'start': 94603133, 'strand': -1}",,37116.0
TRMT2B,79979,17.832743,"{'chr': 'X', 'end': 101052116, 'ensemblgene': 'ENSG00000188917', 'start': 101009346, 'strand': -1}",,42770.0
IRS4,8471,18.217384,"{'chr': 'X', 'end': 108736563, 'ensemblgene': 'ENSG00000133124', 'start': 108719946, 'strand': -1}",,16617.0
MAGEE2,139599,19.61349,"{'chr': 'X', 'end': 75785254, 'ensemblgene': 'ENSG00000186675', 'start': 75782987, 'strand': -1}",,2267.0
P2RY10,27334,18.541042,"{'chr': 'X', 'end': 78963727, 'ensemblgene': 'ENSG00000078589', 'start': 78945332, 'strand': 1}",,18395.0
SYTL4,94121,17.615843,"{'chr': 'X', 'end': 100732123, 'ensemblgene': 'ENSG00000102362', 'start': 100671783, 'strand': -1}",,60340.0
SEC31B,25956,17.667841,"{'chr': '10', 'end': 100519864, 'ensemblgene': 'ENSG00000075826', 'start': 100486646, 'strand': -1}",,33218.0
CALHM1,255022,18.249117,"{'chr': '10', 'end': 103458900, 'ensemblgene': 'ENSG00000185933', 'start': 103453240, 'strand': -1}",,5660.0
PNLIPRP2,5408,6.8152733,"[{'chr': '10', 'end': 116645143, 'ensemblgene': 'ENSG00000266200', 'start': 116620953, 'strand': 1}, {'chr': 'HG2576_PATCH', 'end': 56139, 'ensemblgene': 'ENSG00000291895', 'start': 31949, 'strand': 1}]",,
BTBD16,118663,18.48405,"{'chr': '10', 'end': 122338159, 'ensemblgene': 'ENSG00000138152', 'start': 122271296, 'strand': 1}",,66863.0
DMBT1,1755,19.044107,"{'chr': '10', 'end': 122643736, 'ensemblgene': 'ENSG00000187908', 'start': 122560665, 'strand': 1}",,83071.0
FAM53B,9679,17.654676,"{'chr': '10', 'end': 124744378, 'ensemblgene': 'ENSG00000189319', 'start': 124619292, 'strand': -1}",,125086.0
MKI67,4288,17.775015,"{'chr': '10', 'end': 128126423, 'ensemblgene': 'ENSG00000148773', 'start': 128096659, 'strand': -1}",,29764.0
SEPHS1,22929,17.620111,"{'chr': '10', 'end': 13348298, 'ensemblgene': 'ENSG00000086475', 'start': 13317428, 'strand': -1}",,30870.0
C1QL3,389941,18.34499,"{'chr': '10', 'end': 16521879, 'ensemblgene': 'ENSG00000165985', 'start': 16513734, 'strand': -1}",,8145.0
ARHGAP21,57584,18.045153,"{'chr': '10', 'end': 24723887, 'ensemblgene': 'ENSG00000107863', 'start': 24583609, 'strand': -1}",,140278.0
RET,5979,17.373716,"{'chr': '10', 'end': 43130351, 'ensemblgene': 'ENSG00000165731', 'start': 43077064, 'strand': 1}",,53287.0
VSTM4,196740,18.21425,"{'chr': '10', 'end': 49115522, 'ensemblgene': 'ENSG00000165633', 'start': 49014236, 'strand': -1}",,101286.0
SGMS1,259230,18.167933,"{'chr': '10', 'end': 50625163, 'ensemblgene': 'ENSG00000198964', 'start': 50305586, 'strand': -1}",,319577.0
ANK3,288,17.960386,"{'chr': '10', 'end': 60733490, 'ensemblgene': 'ENSG00000151150', 'start': 60026298, 'strand': -1}",,707192.0
LRRTM3,347731,18.201761,"{'chr': '10', 'end': 67101551, 'ensemblgene': 'ENSG00000198739', 'start': 66926036, 'strand': 1}",,175515.0
AGAP5,729092,25.49844,"{'chr': '10', 'end': 73698109, 'ensemblgene': 'ENSG00000172650', 'start': 73674287, 'strand': -1}",,23822.0
GRID1,2894,18.186293,"{'chr': '10', 'end': 86366795, 'ensemblgene': 'ENSG00000182771', 'start': 85599552, 'strand': -1}",,767243.0
CYP2C8,1558,22.637403,"{'chr': '10', 'end': 95069497, 'ensemblgene': 'ENSG00000138115', 'start': 95036772, 'strand': -1}",,32725.0
SLIT1,6585,18.281511,"{'chr': '10', 'end': 97185959, 'ensemblgene': 'ENSG00000187122', 'start': 96998038, 'strand': -1}",,187921.0
CARD16,114769,21.981974,"{'chr': '11', 'end': 105101431, 'ensemblgene': 'ENSG00000204397', 'start': 105039092, 'strand': -1}",,62339.0
RNF214,257160,17.678896,"{'chr': '11', 'end': 117286454, 'ensemblgene': 'ENSG00000167257', 'start': 117232625, 'strand': 1}",,53829.0
CEP164,22897,17.448387,"{'chr': '11', 'end': 117413266, 'ensemblgene': 'ENSG00000110274', 'start': 117314557, 'strand': 1}",,98709.0
SORL1,6653,17.63514,"{'chr': '11', 'end': 121633763, 'ensemblgene': 'ENSG00000137642', 'start': 121452314, 'strand': 1}",,181449.0
OR10G4,390264,26.409512,"{'chr': '11', 'end': 124018732, 'ensemblgene': 'ENSG00000254737', 'start': 124012997, 'strand': 1}",,5735.0
OR8D2,283160,23.581455,"{'chr': '11', 'end': 124320197, 'ensemblgene': 'ENSG00000279116', 'start': 124319262, 'strand': -1}",,935.0
INSC,387755,17.361013,"{'chr': '11', 'end': 15247208, 'ensemblgene': 'ENSG00000188487', 'start': 15112424, 'strand': 1}",,134784.0
PLEKHA7,144100,18.14079,"{'chr': '11', 'end': 17014415, 'ensemblgene': 'ENSG00000166689', 'start': 16777297, 'strand': -1}",,237118.0
SERGEF,26297,17.510822,"{'chr': '11', 'end': 18013047, 'ensemblgene': 'ENSG00000129158', 'start': 17788048, 'strand': -1}",,224999.0
LDHC,3948,21.00882,"{'chr': '11', 'end': 18452063, 'ensemblgene': 'ENSG00000166796', 'start': 18412318, 'strand': 1}",,39745.0
MAPK8IP1,9479,18.15883,"{'chr': '11', 'end': 45906465, 'ensemblgene': 'ENSG00000121653', 'start': 45885651, 'strand': 1}",,20814.0
OR52I2,143502,23.79559,"{'chr': '11', 'end': 4593340, 'ensemblgene': 'ENSG00000226288', 'start': 4581743, 'strand': 1}",,11597.0
TRIM68,55128,19.466108,"{'chr': '11', 'end': 4608231, 'ensemblgene': 'ENSG00000167333', 'start': 4598672, 'strand': -1}",,9559.0
OR4B1,119765,22.692766,"{'chr': '11', 'end': 48217739, 'ensemblgene': 'ENSG00000175619', 'start': 48216810, 'strand': 1}",,929.0
HBG2,3048,21.395641,"{'chr': '11', 'end': 5505605, 'ensemblgene': 'ENSG00000196565', 'start': 5253188, 'strand': -1}",,252417.0
OR51B6,390058,23.393343,"{'chr': '11', 'end': 5352446, 'ensemblgene': 'ENSG00000176239', 'start': 5351508, 'strand': 1}",,938.0
OR8U1,219417,23.581455,"[{'chr': '11', 'end': 56376553, 'ensemblgene': 'ENSG00000172199', 'start': 56375624, 'strand': 1}, {'chr': 'HG2568_PATCH', 'end': 187302, 'ensemblgene': 'ENSG00000291846', 'start': 186373, 'strand': 1}]",,
OR5M3,219482,23.484547,"[{'chr': '11', 'end': 56473352, 'ensemblgene': 'ENSG00000174937', 'start': 56469274, 'strand': -1}, {'chr': 'HG2568_PATCH', 'end': 284103, 'ensemblgene': 'ENSG00000291859', 'start': 280025, 'strand': -1}]",,
OR5AR1,219493,22.75018,"{'chr': '11', 'end': 56664618, 'ensemblgene': 'ENSG00000172459', 'start': 56663686, 'strand': 1}",,932.0
OR9I1,219954,22.637403,"{'chr': '11', 'end': 58125530, 'ensemblgene': 'ENSG00000172377', 'start': 58116742, 'strand': -1}",,8788.0
MS4A4A,51338,21.233551,"{'chr': '11', 'end': 60318080, 'ensemblgene': 'ENSG00000110079', 'start': 60185657, 'strand': 1}",,132423.0
OR6A2,8590,21.845623,"{'chr': '11', 'end': 6799689, 'ensemblgene': 'ENSG00000184933', 'start': 6791736, 'strand': -1}",,7953.0
OLFML1,283298,17.687798,"{'chr': '11', 'end': 7511377, 'ensemblgene': 'ENSG00000183801', 'start': 7485388, 'strand': 1}",,25989.0
GDPD4,220032,18.386465,"{'chr': '11', 'end': 77301687, 'ensemblgene': 'ENSG00000178795', 'start': 77216558, 'strand': -1}",,85129.0
USP35,57558,18.288073,"{'chr': '11', 'end': 78215232, 'ensemblgene': 'ENSG00000118369', 'start': 78188812, 'strand': 1}",,26420.0
FZD4,8322,17.615843,"{'chr': '11', 'end': 86955395, 'ensemblgene': 'ENSG00000174804', 'start': 86945679, 'strand': -1}",,9716.0
NT5DC3,51559,17.617977,"{'chr': '12', 'end': 103841234, 'ensemblgene': 'ENSG00000111696', 'start': 103770453, 'strand': -1}",,70781.0
SLC41A2,84102,18.249117,"{'chr': '12', 'end': 104958744, 'ensemblgene': 'ENSG00000136052', 'start': 104801801, 'strand': -1}",,156943.0
NUAK1,9891,17.510822,"{'chr': '12', 'end': 106138954, 'ensemblgene': 'ENSG00000074590', 'start': 106063345, 'strand': -1}",,75609.0
WSCD2,9671,17.613714,"{'chr': '12', 'end': 108250537, 'ensemblgene': 'ENSG00000075035', 'start': 108129288, 'strand': 1}",,121249.0
TAS2R8,50836,20.339678,"[{'chr': '12', 'end': 10807286, 'ensemblgene': 'ENSG00000121314', 'start': 10806051, 'strand': -1}, {'chr': 'HSCHR12_3_CTG2', 'end': 5999, 'ensemblgene': 'ENSG00000277316', 'start': 4757, 'strand': -1}, {'chr': 'HSCHR12_2_CTG2', 'end': 5999, 'ensemblgene': 'ENSG00000272712', 'start': 4757, 'strand': -1}]",,
RASAL1,8437,18.207993,"{'chr': '12', 'end': 113136239, 'ensemblgene': 'ENSG00000111344', 'start': 113098819, 'strand': -1}",,37420.0
IQCD,115811,17.650314,"{'chr': '12', 'end': 113221094, 'ensemblgene': 'ENSG00000166578', 'start': 113195441, 'strand': -1}",,25653.0
SRRM4,84530,17.620111,"{'chr': '12', 'end': 119163051, 'ensemblgene': 'ENSG00000139767', 'start': 118981541, 'strand': 1}",,181510.0
COQ5,84274,16.796192,"{'chr': '12', 'end': 120534434, 'ensemblgene': 'ENSG00000110871', 'start': 120503279, 'strand': -1}",,31155.0
GUCY2C,2984,18.062107,"{'chr': '12', 'end': 14696599, 'ensemblgene': 'ENSG00000070019', 'start': 14612632, 'strand': -1}",,83967.0
ART4,420,17.573809,"{'chr': '12', 'end': 14843526, 'ensemblgene': 'ENSG00000111339', 'start': 14825569, 'strand': -1}",,17957.0
PTPRO,5800,17.648138,"{'chr': '12', 'end': 15602175, 'ensemblgene': 'ENSG00000151490', 'start': 15322257, 'strand': 1}",,279918.0
SLCO1C1,53919,18.249117,"{'chr': '12', 'end': 20753386, 'ensemblgene': 'ENSG00000139155', 'start': 20695332, 'strand': 1}",,58054.0
PPFIBP1,8496,18.278242,"{'chr': '12', 'end': 27695564, 'ensemblgene': 'ENSG00000110841', 'start': 27523431, 'strand': 1}",,172133.0
PKP2,5318,17.628681,"{'chr': '12', 'end': 32896798, 'ensemblgene': 'ENSG00000057294', 'start': 32790745, 'strand': -1}",,106053.0
KIF21A,55605,17.563475,"{'chr': '12', 'end': 39443390, 'ensemblgene': 'ENSG00000139116', 'start': 39293228, 'strand': -1}",,150162.0
LRRK2,120892,17.598894,"{'chr': '12', 'end': 40369285, 'ensemblgene': 'ENSG00000188906', 'start': 40196744, 'strand': 1}",,172541.0
NELL2,4753,18.195557,"{'chr': '12', 'end': 44921848, 'ensemblgene': 'ENSG00000184613', 'start': 44508275, 'strand': -1}",,413573.0
KRT6A,3853,20.74696,"{'chr': '12', 'end': 52493257, 'ensemblgene': 'ENSG00000205420', 'start': 52487176, 'strand': -1}",,6081.0
ANKRD52,283373,18.271723,"{'chr': '12', 'end': 56258384, 'ensemblgene': 'ENSG00000139645', 'start': 56237807, 'strand': -1}",,20577.0
KLRB1,3820,19.873829,"{'chr': '12', 'end': 9607916, 'ensemblgene': 'ENSG00000111796', 'start': 9594551, 'strand': -1}",,13365.0
TUBA3C,7278,24.512655,"{'chr': '13', 'end': 19181824, 'ensemblgene': 'ENSG00000198033', 'start': 19173772, 'strand': -1}",,8052.0
BRCA2,675,17.418087,"{'chr': '13', 'end': 32400268, 'ensemblgene': 'ENSG00000139618', 'start': 32315086, 'strand': 1}",,85182.0
DIAPH3,81624,17.984522,"{'chr': '13', 'end': 60163928, 'ensemblgene': 'ENSG00000139734', 'start': 59665583, 'strand': -1}",,498345.0
SNORD114-26,767606,24.512655,"{'chr': '14', 'end': 100987117, 'ensemblgene': 'ENSG00000200413', 'start': 100987046, 'strand': 1}",,71.0
IGHG1,3500,24.185125,"{'chr': '14', 'end': 105743071, 'ensemblgene': 'ENSG00000211896', 'start': 105736343, 'strand': -1}",,6728.0
IGHG1,ENSG00000277633,24.185125,"{'chr': 'HSCHR14_3_CTG1', 'end': 210840, 'ensemblgene': 'ENSG00000277633', 'start': 204112, 'strand': -1}",,6728.0
IGHV3-9,28451,27.201292,,,
IGHV4-59,28392,26.409512,"{'chr': '14', 'end': 106627825, 'ensemblgene': 'ENSG00000224373', 'start': 106627249, 'strand': -1}",,576.0
IGHV4-59,ENSG00000282691,26.409512,"{'chr': 'HSCHR14_3_CTG1', 'end': 1119504, 'ensemblgene': 'ENSG00000282691', 'start': 1118928, 'strand': -1}",,576.0
POTEM,641455,25.887978,"{'chr': '14', 'end': 19003752, 'ensemblgene': 'ENSG00000222036', 'start': 18967434, 'strand': 1}",,36318.0
TRAV7,28686,25.887978,"{'chr': '14', 'end': 21783503, 'ensemblgene': 'ENSG00000211781', 'start': 21782993, 'strand': 1}",,510.0
TRAV8-2,28684,25.887978,"{'chr': '14', 'end': 21847221, 'ensemblgene': 'ENSG00000211786', 'start': 21846537, 'strand': 1}",,684.0
TRAV26-2,28656,23.393343,"{'chr': '14', 'end': 22203368, 'ensemblgene': 'ENSG00000211812', 'start': 22202583, 'strand': 1}",,785.0
FOXG1,2290,18.114115,"{'chr': '14', 'end': 28770277, 'ensemblgene': 'ENSG00000176165', 'start': 28764329, 'strand': 1}",,5948.0
PRKD1,5587,17.624392,"{'chr': '14', 'end': 30191898, 'ensemblgene': 'ENSG00000184304', 'start': 29576479, 'strand': -1}",,615419.0
CLEC14A,161198,17.859936,"{'chr': '14', 'end': 38256093, 'ensemblgene': 'ENSG00000176435', 'start': 38254000, 'strand': -1}",,2093.0
TC2N,123036,18.085009,"[{'chr': '14', 'end': 91867536, 'ensemblgene': 'ENSG00000165929', 'start': 91779746, 'strand': -1}, {'chr': 'HSCHR14_1_CTG1', 'end': 304321, 'ensemblgene': 'ENSG00000276776', 'start': 247546, 'strand': -1}]",,
UBR7,55148,17.624392,"[{'chr': 'HSCHR14_7_CTG1', 'end': 343777, 'ensemblgene': 'ENSG00000278787', 'start': 321618, 'strand': 1}, {'chr': '14', 'end': 93229215, 'ensemblgene': 'ENSG00000012963', 'start': 93207241, 'strand': 1}]",,
IGHV1OR15-9,390531,27.201292,"{'chr': '15', 'end': 19965101, 'ensemblgene': 'ENSG00000188403', 'start': 19964666, 'strand': -1}",,435.0
MAGEL2,54551,19.364098,"[{'chr': '15', 'end': 23647867, 'ensemblgene': 'ENSG00000254585', 'start': 23643549, 'strand': -1}, {'chr': 'HG2365_PATCH', 'end': 4595206, 'ensemblgene': 'ENSG00000288188', 'start': 4591460, 'strand': -1}]",,
SNORD115-10,100033447,27.201292,"{'chr': '15', 'end': 25187616, 'ensemblgene': 'ENSG00000201943', 'start': 25187536, 'strand': 1}",,80.0
SNORD115-27,100036564,27.201292,"{'chr': '15', 'end': 25220578, 'ensemblgene': 'ENSG00000201300', 'start': 25220497, 'strand': 1}",,81.0
GABRA5,2558,17.659052,"{'chr': '15', 'end': 26949208, 'ensemblgene': 'ENSG00000186297', 'start': 26866911, 'strand': 1}",,82297.0
NUTM1,256646,19.120937,"[{'chr': '15', 'end': 34357737, 'ensemblgene': 'ENSG00000184507', 'start': 34343315, 'strand': 1}, {'chr': 'HSCHR15_9_CTG8', 'end': 98563, 'ensemblgene': 'ENSG00000291987', 'start': 82056, 'strand': 1}]",,
MAP1A,4130,18.22053,"{'chr': '15', 'end': 43531620, 'ensemblgene': 'ENSG00000166963', 'start': 43510958, 'strand': 1}",,20662.0
MYO5C,55930,17.624392,"{'chr': '15', 'end': 52295804, 'ensemblgene': 'ENSG00000128833', 'start': 52192322, 'strand': -1}",,103482.0
IQCH,64799,17.643791,"{'chr': '15', 'end': 67502260, 'ensemblgene': 'ENSG00000103599', 'start': 67254786, 'strand': 1}",,247474.0
TBC1D21,161514,18.886429,"{'chr': '15', 'end': 73889214, 'ensemblgene': 'ENSG00000167139', 'start': 73873564, 'strand': 1}",,15650.0
PML,5371,18.620445,"{'chr': '15', 'end': 74047827, 'ensemblgene': 'ENSG00000140464', 'start': 73994673, 'strand': 1}",,53154.0
ACSBG1,23205,17.867435,"{'chr': '15', 'end': 78245688, 'ensemblgene': 'ENSG00000103740', 'start': 78167468, 'strand': -1}",,78220.0
TMC3,342125,18.07638,"{'chr': '15', 'end': 81374213, 'ensemblgene': 'ENSG00000188869', 'start': 81331088, 'strand': -1}",,43125.0
PEX11A,8800,17.650314,"{'chr': '15', 'end': 89690783, 'ensemblgene': 'ENSG00000166821', 'start': 89677764, 'strand': -1}",,13019.0
NR2F2,7026,17.7035,"{'chr': '15', 'end': 96340263, 'ensemblgene': 'ENSG00000185551', 'start': 96325938, 'strand': 1}",,14325.0
CLN3,1201,17.334133,"[{'chr': '16', 'end': 28495575, 'ensemblgene': 'ENSG00000188603', 'start': 28474111, 'strand': -1}, {'chr': '16', 'end': 28492098, 'ensemblgene': 'ENSG00000261832', 'start': 28456371, 'strand': -1}]",,
PRSS36,146547,19.249935,"{'chr': '16', 'end': 31150083, 'ensemblgene': 'ENSG00000178226', 'start': 31138926, 'strand': -1}",,11157.0
CNGB1,1258,18.328032,"{'chr': '16', 'end': 57971128, 'ensemblgene': 'ENSG00000070729', 'start': 57882340, 'strand': -1}",,88788.0
CDH8,1006,17.73309,"{'chr': '16', 'end': 62037035, 'ensemblgene': 'ENSG00000150394', 'start': 61647242, 'strand': -1}",,389793.0
EDC4,23644,17.632984,"{'chr': '16', 'end': 67884499, 'ensemblgene': 'ENSG00000038358', 'start': 67873052, 'strand': 1}",,11447.0
SLC12A4,6560,17.632984,"{'chr': '16', 'end': 67969601, 'ensemblgene': 'ENSG00000124067', 'start': 67943474, 'strand': -1}",,26127.0
NFAT5,10725,18.22368,"{'chr': '16', 'end': 69704666, 'ensemblgene': 'ENSG00000102908', 'start': 69565094, 'strand': 1}",,139572.0
ZFHX3,463,18.155811,"{'chr': '16', 'end': 73891871, 'ensemblgene': 'ENSG00000140836', 'start': 72782885, 'strand': -1}",,1108986.0
METTL22,79091,17.650314,"{'chr': '16', 'end': 8649654, 'ensemblgene': 'ENSG00000067365', 'start': 8621683, 'strand': 1}",,27971.0
