gene,observed_dNdS,expected_dNdS
PMPCB,0.0,3.7105683187839658
NAA30,0.5,3.175730022482253
LCMT1,2.0,2.8255847258386293
HKDC1,5.0,2.2887585524775345
APC2,6.0,2.012274674847693
OR4K1,6.0,2.9137196164690216
SCIMP,4.0,3.1964686490292937
RGMB,3.0,2.41702591504173
PPP6R1,3.0,2.201738135897822
LY9,3.0,2.6895002643406025
DDX55,3.0,2.5594807764031513
TLE4,6.0,2.8173222661695223
EIF4A3,3.0,2.5417053545811563
D2HGDH,2.0,1.928600223880676
RIBC1,5.0,2.881349550290082
RGS13,2.0,3.8988498224225716
GMIP,6.0,2.2585040567302257
DNAJB6,2.0,3.3151630826931293
CDKAL1,1.0,3.1887354823496787
OR2A4,2.0,2.20417065559547
KANK3,3.0,2.111357599925719
NEMF,3.0,3.8015581557061635
NCKAP1,6.0,3.553797562620527
NUDT12,4.0,3.7791483096938094
PTK7,0.75,2.32510017039419
HES6,3.0,2.0883345185112923
KLK12,3.0,2.2593027997577857
PHLPP1,3.0,2.6283912986050253
OR8K3,1.3333333333333333,2.623578591760919
AADAC,1.5,3.1655039920481944
KRT75,2.0,2.286666826982036
ITGAD,2.0,2.212600193468841
MKI67,5.666666666666667,3.2046078353684124
BTG3,4.0,3.5495334518384944
SLC38A4,0.0,3.041811804561659
SLC23A2,1.3333333333333333,2.4445159954477886
CERK,4.0,2.431006110445643
CRISP1,4.0,3.9251223458151507
DAZL,4.0,3.6254870223727163
LGALS3BP,1.0,2.6070471213794146
MAP3K19,3.2,3.563500095385425
C16orf71,5.0,2.701298435034366
NACA,8.0,3.0052867318889582
PCSK2,2.0,2.525074271050264
LPP,2.5,3.1270000927249195
TRERF1,1.0,2.5339254324165
CCL2,2.0,2.3202076906020714
PRKAA1,1.3333333333333333,3.4662968485645296
ZFYVE27,3.0,2.3291184458426786
ATAD5,4.0,3.878942417152952
MED20,0.0,2.590900132557621
EMC7,3.0,2.9900251713643926
ZNF675,3.0,2.815756907796534
ANKLE2,3.5,2.7275234962368247
RAB21,2.0,3.113328881395748
CABLES1,1.0,2.3940681904719656
L1TD1,3.0,3.51598190839024
OR51E2,0.0,2.3437310533245035
HP1BP3,4.0,3.0029990731837075
MAGEC2,8.0,2.7510977492766373
PODXL2,6.0,2.3603761791049185
NEURL1,0.5,1.9628456665206684
TTYH1,1.0,1.9286169210924875
IGKV3D-20,4.0,
WFDC1,4.0,2.4522482814018653
MED1,3.3333333333333335,3.123555559272319
PCDH1,8.0,2.2593769088246636
NLN,7.0,3.2783844783116423
C11orf88,4.0,2.859940310919543
SH3KBP1,3.5,2.844806049668178
KRTAP10-1,3.0,2.549557252617112
WFDC9,4.0,3.8870575152189644
ANKS6,2.0,2.5163799666084414
ATF7IP,8.0,3.6502941342781194
PRR21,1.0,2.580318768955003
PKD2L2,2.0,3.2973373229004364
A4GALT,2.0,1.9290929131559091
KCTD1,2.0,2.668057260762153
DEFB121,3.0,2.784902934622472
SPDEF,6.0,2.2460688427859647
MAP2K7,0.0,2.087084184780406
UGT2B7,2.5,3.4213089809862085
GPR89A,0.0,2.7146579107605278
HDLBP,1.3333333333333333,2.619866320609384
EVC2,7.0,2.5380939006769845
PCSK9,3.0,2.132428340443708
TPRG1L,0.0,2.1605394087946572
TAOK1,5.0,3.554337842386622
ATP5G2,2.0,2.2569816696019687
CDKN2A,82.0,2.5544727621926633
ETV2,2.0,2.531950627479973
ZNF577,4.0,2.9719961804732242
DISP2,5.0,2.137077868601016
PLA2G3,3.0,2.53991199774442
CTD-2206N4.2,3.0,
THOC5,2.0,2.4803903189028325
POLR2G,4.0,2.5370120533397924
PLEKHG7,5.0,2.8752952037940878
METTL15,1.0,3.778699130749101
NPIPA1,1.0,3.053642372500997
MGA,2.0,3.4084694380298592
ACSL6,2.0,2.738158852489683
LINC01098,4.0,2.863016799806367
SOGA3,3.5,2.3778501513153367
OR13C2,1.0,2.555282704045166
KIAA1407,9.0,3.116277353471867
LRMP,2.0,3.377933942206937
DKK2,4.0,2.6889382193759377
KIAA0430,1.3333333333333333,2.9145550356175045
SV2C,4.0,2.7949942033562194
GEMIN4,5.0,2.210975719978256
SYNJ2BP,3.0,2.5389088445086334
CYP4F2,2.0,2.28752686856254
CTAG2,3.0,2.5897527156183826
RAB3IP,6.0,3.574937094195364
HRH1,0.6666666666666666,2.403375799388759
PMM2,3.0,2.856922052176327
OR4K14,2.0,2.448997183124173
PTPLB,2.0,2.5452407277199147
ACP6,2.0,2.4580359877270994
HTR1E,3.5,2.2704300137704143
SLC16A5,1.0,2.0928318612641306
KRTAP5-9,3.0,3.0088408495390997
NOX5,1.6666666666666667,2.1956678766665263
CD6,2.0,2.423658527167639
JUP,5.0,1.9788528883056362
MYH15,2.25,2.89026711149331
GOLGA2,0.75,2.5776763047932443
CAMKK1,2.0,2.310122146292727
DCTN6,3.0,3.3409160188760696
PTHLH,1.0,2.3341347012448534
STRIP1,4.0,2.407382666305714
WDR90,2.25,2.132604766733105
YPEL5,2.0,2.7940815284733187
RBM24,2.0,2.7293404370505523
TOB2,4.0,2.31020690902377
HSP90B1,6.0,3.4371885678392013
PCDHGA7,1.5,2.3330226106973853
RASL10B,0.5,1.9505008724168662
SLC39A3,4.0,1.6523250086667305
COX8A,2.0,1.7670961382618458
AGMAT,3.0,2.282945256666533
OR5M8,1.3333333333333333,2.5318066660567258
ERVW-1,0.5,3.092882538985814
SLC25A10,2.0,2.0527473030693075
ZSCAN30,2.0,3.3162449585809193
NPM3,2.0,2.441339032319273
MFSD6,1.0,2.822990096628895
AXIN1,2.0,2.3495979071567468
TMEM164,2.0,2.3175481588261637
C9orf171,1.0,2.3191289073089045
SVOPL,3.0,2.279444802585738
MTO1,2.0,2.991558607963775
ZNF83,1.0,2.9043447272529135
IGF1R,3.0,2.371533809058871
MRPL4,2.0,2.233473998935785
DDHD2,4.0,3.384275816409655
TXLNA,3.0,2.5704552475331233
TRIM2,0.5,2.4842996791590526
ADAMTS17,5.0,2.3806585279280896
C12orf68,2.0,2.1616330059416833
EBLN2,2.0,3.6977342045578454
KY,4.0,2.3886864897191824
GSN,6.0,2.30119820093861
ANKRD20A4,4.0,3.4870147414650745
AK9,3.5,3.7926717009231243
INPP5F,5.0,3.3262888672235578
WNT10A,3.0,2.2712139070842206
APOM,2.0,2.6826664723589033
MPZL1,2.0,2.7751136403401553
KIF7,1.3333333333333333,2.116500407190674
DEFB123,2.0,2.6485965934415843
CTD-2349P21.5,2.0,
AP1AR,2.0,3.9168503285402956
MYT1L,3.0,2.655474246451593
FKBP11,1.0,2.409648554393129
LILRA5,6.0,2.4364192241788896
HNRNPUL1,6.0,2.8510288038823375
OR2T34,1.5,2.259028621005415
LTBP1,20.0,2.9360432661598104
SEMA3G,4.0,2.2380550487750153
CCDC170,4.0,2.9253494219921983
KLB,5.0,2.6302711694213574
ARHGAP1,5.0,2.124163617308608
OR2L3,2.0,2.6822138166184937
DDX25,0.0,2.9313765611825273
LY6G6F,3.0,2.5233333191208214
MCM4,2.5,2.8107758705771424
STAG1,2.0,3.56951794132146
BCL2L14,2.0,2.7783885101266383
PCDHGC4,2.0,2.6036953278227566
TAF9B,0.5,3.489130778542396
RPRD2,4.0,2.9706972328963848
GALNT16,3.0,2.3189319338146896
TRBV6-8,1.0,
REEP5,2.0,2.410520774205605
CCNG2,4.0,3.078166082791501
C2orf76,2.0,2.9052522758653647
TEX30,2.0,3.8889294622116974
ELOVL7,3.0,3.033505953671921
ESD,4.0,3.63877192413593
SIPA1,3.0,2.04284060434854
GGA2,2.0,2.586080257292645
HOXC8,2.0,2.558284686957635
KLF7,3.0,2.6232840071810086
EXOSC7,0.0,2.4868378292338136
PSMG1,1.0,2.9970978590435755
ZNF410,1.0,3.0830913040171977
SENP7,4.0,3.6307180894814333
LCNL1,2.0,2.040739570534245
MYH11,5.0,2.2690619370675487
RBP1,2.0,2.476934436742519
EPS8L1,5.0,2.120635965317093
TUBA3E,5.0,2.2304311078863144
LETMD1,2.0,2.769850354388495
TMEM168,6.0,3.3424882825702866
NEUROD1,1.5,2.4774287313019983
FAM126A,1.0,3.59021699465242
HIF3A,3.0,2.068923664546
GBP4,2.0,2.79478358708866
TANK,2.0,3.7118169863915784
REEP6,2.0,1.9955161251226952
MTX3,3.0,3.182860453015339
NSDHL,2.0,2.407015604424228
COLGALT2,5.0,2.5917610353760985
RPAIN,2.0,2.5635964780087175
BRSK2,1.5,2.0646450365336544
CD81,0.0,1.9329102282951305
SNAPC3,2.0,3.000719162766456
PRTG,3.0,3.165300761865759
LCE2C,1.0,3.292634134564576
RNF149,2.0,2.735230059192838
PCDHB10,2.6666666666666665,2.238361710963492
MB21D1,2.0,2.6324411990007945
RP11-21L19.1,2.0,
AASDH,1.5,3.3870839038349665
OR4A5,7.0,2.6641503181439847
USP53,2.0,4.102696345348312
IPO4,0.0,2.208397156041686
XIRP1,1.6666666666666667,2.50108665768134
BTN2A3P,5.0,
SPOCK1,0.3333333333333333,2.49523324281419
P2RY13,2.0,2.626708008891196
ZPBP,3.0,3.27005889203702
SGCZ,1.6666666666666667,2.893357941305641
TTLL4,5.0,2.70425953690124
ANAPC15,0.0,3.048097687266845
PIK3R6,3.0,2.5444163067264345
CNTNAP1,8.0,2.3946109569493275
C14orf182,2.0,3.0154771049203912
TLR1,2.0,2.9143778241984593
SLC22A6,1.0,2.5281024131772787
AQP11,1.0,2.1438749077096477
ASTE1,6.0,2.985007355679633
HIST1H3H,3.0,2.113073963758135
INPP5D,1.5,2.2954461302924547
B4GALT7,1.0,2.1751267567369252
IGKV1D-13,0.25,
ESX1,2.0,2.7014486474698516
HAUS1,2.0,3.128949662324076
C6orf203,2.0,3.267430345452169
PVR,3.0,2.1724758845258596
PYROXD1,1.0,3.1492233558789144
TM7SF2,1.0,1.9661887594484115
COL9A1,6.0,3.573215462761901
ELK4,5.0,2.9221894123647263
TGM7,1.0,2.349985097582085
TULP1,2.0,2.239819114394799
CAMTA1,1.5,2.4496761325090004
PYGM,2.0,2.200904495807835
SNORD115-44,3.0,
CNTROB,7.0,2.546444049178213
TRIM55,5.0,2.997087153352716
SNTB1,6.0,2.3686296073248467
P2RX3,1.5,2.2768404504736375
TSHZ3,2.2,2.3452052427283943
TJP1,5.0,3.6276557645590346
PI4K2A,3.0,2.5074784700321535
TUBB8P7,6.0,2.710623062028186
PPP5C,3.0,2.287201076674586
ADM,1.0,2.323296572743508
STYX,2.0,3.937565396192091
HAUS4,4.0,2.505687453902754
TRPV2,4.0,2.1463229627082816
PFKM,4.0,2.7046171796971317
FGL1,3.0,3.4361154921643555
FAM105B,2.0,2.4740474356763253
KAZN,0.6666666666666666,2.1236532140287863
KLK8,1.0,2.7058952491150716
AK7,3.0,2.9842281411117586
DDX46,5.0,3.7576591781009068
RP11-266K4.9,4.0,
MTFMT,4.0,3.1102107825252103
DDX50,3.0,3.68372438670067
CCDC113,2.0,2.8577443627095462
CTD-2583A14.10,2.0,2.286459572836563
TPGS2,3.0,2.679066528777947
PLA2G4D,4.0,2.120981735078264
KCNC3,4.0,2.0524281993949365
OR2T8,2.0,2.3015879850676675
CDC73,2.0,3.6070193014551633
RPS10,3.0,2.9532692723054086
PSG4,3.0,2.6843483579272127
F7,0.0,2.1504567829287287
IVL,1.0,2.5502899692718954
COLGALT1,3.0,2.1211525359070325
NPR2,4.0,2.4852755952034613
PPBP,3.0,2.4870245917177236
C17orf64,5.0,2.4881191696706964
DAW1,0.5,3.0774498158476224
EGR2,1.0,2.509662543988146
SCGN,5.0,3.0021788142140595
ACOT11,2.5,2.2021821144783598
KBTBD12,6.0,3.289246664035717
OR13H1,1.0,2.4554052764494383
PHKA2,3.3333333333333335,2.5464364173204355
FGF4,2.0,1.81264605878176
CHEK1,1.0,3.398344736359806
MRPL24,3.0,2.539107072563576
TEAD4,5.0,2.3559968555670445
CAPNS1,3.0,2.4441978945661016
PRR23C,5.0,2.3093639838074247
C12orf40,6.0,4.021895493472243
UBP1,0.0,3.24136691103797
NEIL1,3.0,2.2153116982120307
RP11-303E16.5,2.0,
ZNF250,1.0,2.612668244162491
MAGEA6,4.0,2.399854911318147
KRT23,5.0,2.5297521505017855
TMEM167B,3.0,2.4736143865704157
GP1BA,4.0,2.1461014933737226
RBM19,3.0,2.332167131731711
ACSS3,12.0,3.236013679782854
ITGAE,4.0,2.3824502467944013
OR2D2,0.5,2.53770341372801
AIG1,1.0,2.4136458566800285
CFHR2,1.0,3.9970957004230057
KDM5A,5.0,3.1912693381503123
SPTLC1,6.0,3.186076995920034
KRT6A,0.3333333333333333,2.2560640497469904
ISCA1,0.0,3.0292459271094536
ATP2B1,6.0,3.8107790124376026
CWF19L2,6.0,3.846478444284934
KLHDC7A,7.0,2.211194896149109
TUBBP1,3.0,
RBM15B,1.0,2.3009124464590416
PTRHD1,2.0,2.366038562502688
NECAP2,2.0,2.649500371325622
MSANTD4,4.0,3.3063569050139376
DDB2,4.0,2.5268711248578675
ASGR2,4.0,2.4431156646177046
METTL21B,3.0,2.69580268352423
RSBN1,1.0,3.181898217528922
SUDS3,3.0,2.837316050237033
ZNF534,4.0,2.5656013651622978
GTPBP3,1.0,2.0362603718679977
GATM,6.0,3.1859585220205267
TCHHL1,6.0,3.582575098412027
HIST1H2BJ,3.0,2.038825854083988
DHX40,1.0,3.5822650300576324
FCER2,1.0,2.4247163529048503
FIG4,6.0,3.1157903436605565
WDR3,7.0,2.5736264135498423
RNF151,2.0,2.9918634186245328
PRDX2,3.0,2.07169972751949
FBLN2,7.0,2.432694526958865
DHX33,6.0,2.4206963319695287
DRC1,6.0,2.557101856034708
WBP1,3.0,2.690951834932382
MALAT1,41.0,
ALDH8A1,2.0,2.478945735266914
TCP10L,4.0,3.1972844355829415
C5orf49,2.0,2.39366481250193
JMY,0.0,2.8889776248666097
EFTUD1,1.0,3.358235350820704
C6orf211,4.0,3.7041500205818254
ZRSR1,2.0,3.3983508112310554
TXNDC2,0.75,2.413792634883084
KIAA1549,2.5,2.5254806131828995
TGM4,8.0,2.508139575345361
RALGAPA2,2.0,2.924885596931641
PLCE1,2.0,2.967357227612276
IGHV4-28,6.0,
BBS12,1.0,3.443427155234788
OPN1MW,0.0,2.2757919871903103
SLC6A1,1.0,2.153870548257743
ZNF461,3.0,2.74593404246035
PLOD3,5.0,2.1720450882731397
GPR50,1.25,2.5114238426452946
C9orf131,4.0,3.0213246312225706
UPRT,2.0,2.87195574308023
RGS2,3.0,3.260455341089935
SPRED2,1.3333333333333333,2.6502024955970604
KIF20B,10.0,3.6734694761611992
ECE2,2.0,2.3824393444247223
FTMT,4.0,2.192863623512222
CLU,3.0,2.281288601029044
COL18A1,0.8,2.4043764427740046
IMMT,4.0,3.1915052693841695
KCNJ6,1.0,2.4162747087814402
CCER1,5.0,2.6830239339613065
LRRC14B,0.0,1.9201343841282186
TRIM38,1.0,2.8774216455832766
NMD3,1.0,3.525261850062336
VPS16,5.0,2.4052925008727946
PELI2,1.0,2.7028493865070087
GAN,4.0,3.0982279470866447
CCNB1IP1,5.0,3.3078923125939137
STK4,3.0,3.3359442730364615
SPPL2A,1.0,3.399115542316163
C10orf90,4.0,2.813099156656317
RAP1GDS1,7.0,2.844405386189339
PUM1,5.0,3.1232157615199254
KRTAP4-1,2.0,3.034450991542837
LPCAT3,1.0,2.2858873340721177
SYNRG,0.75,3.3861491594145066
VNN3,4.0,3.1013188599986674
ELL,3.0,2.214514271123221
DEFB128,0.0,2.543773054715902
CSHL1,7.0,2.6460545079892728
TNS1,6.0,2.4543737381167743
NPM2,2.0,2.587660306680954
RNU6-721P,2.0,
LILRA1,1.5,2.3047147590073207
RNF217,3.0,2.5374959906822867
CELA3B,2.0,2.407623110590368
CGA,2.0,2.8185655329754633
C5orf22,4.0,3.4511868791375773
DTNB,4.0,2.7701062396002474
PTGFRN,0.8,2.3059360294327904
TBX15,2.0,2.9942238152130662
SNX30,3.0,2.655021994520448
STAT2,1.5,2.4549070511668982
FGD5,4.0,2.478089532589795
SGMS2,3.0,3.128060158730063
SEMA4D,1.0,2.3311827254138664
SSX1,0.0,3.2128743459818963
GLYCTK,3.0,2.319912737743736
TNMD,3.0,3.317804661850257
EIF2S1,1.0,3.349035055437885
LMX1A,1.5,2.5179067250896594
SLC17A1,2.0,2.9965086956712903
PCDH20,3.0,2.713848756400607
EFNA1,2.0,2.5337713941504343
USP36,8.0,2.487648448373473
FOXRED1,2.0,2.4338257966679353
ACAD10,4.0,2.616796841635179
CASC10,2.0,2.4728047735377774
GRIPAP1,4.0,2.5075767022384206
RAB9A,2.0,3.5610014270067385
PPAN-P2RY11,5.0,2.2577304648104324
ARRDC4,3.0,3.2846899662019684
HIST1H2BF,2.0,2.0498479833278447
ANKRD33,0.5,2.3379876257976413
TTC23L,0.6666666666666666,2.8025601728524125
ADTRP,2.0,2.3957533286177304
GABBR1,4.0,2.3525091341120468
HIST1H4B,3.0,2.304121438121803
CHDC2,13.0,3.520822152111738
CCDC74A,4.0,2.3625677931403857
USF1,3.0,2.7121407903381387
DGCR2,2.0,2.3453038556878267
COX19,3.0,2.8078958862469707
ABCC10,5.0,2.0822108431392583
MAN1A1,2.0,2.7067879053074617
PCGF2,1.0,2.124327196310255
GALNT2,6.0,2.719893035811913
PCYT1B,3.0,3.0837625397795323
TNFRSF13B,1.0,2.6329607025676967
GPRC6A,11.0,3.041110607952286
PAGE5,1.0,3.5863288796115453
IFIT1,2.0,2.995679638155309
EMC2,6.0,3.887002541466854
INF2,0.75,2.060518205442765
DPYSL3,2.0,2.5935417448861484
NLRC4,8.0,2.7044795287865058
EIF2AK2,0.0,3.794813964295356
IFRG15,0.0,4.114941531725728
OLFM2,4.0,2.0334864370826184
ZNF672,2.0,2.2692618414123307
DNAJC15,3.0,3.5300762455485444
ZFAND1,1.0,3.7573974255593354
RGL1,2.5,2.6167844182229385
FAM92A1,3.0,3.1945247756667885
SMARCAD1,6.0,3.746303318736084
TK1,0.0,2.2484073604574126
AFF1,10.0,3.0003686242662657
PTCHD2,2.25,2.0345743253365103
SUOX,3.0,2.661618573205583
UBBP4,6.0,2.1499848101743555
PARD6B,2.0,3.3474957033657775
ZNF418,5.0,3.8323453785985415
SEMA6C,3.0,2.250156949176063
NODAL,2.0,2.3806276591923896
PER3,4.0,2.9464261514186685
GALNT12,3.0,2.4026815726121376
FUBP1,6.0,4.484135635102854
PTGDR,3.0,1.9557136625890403
DIAPH1,1.3333333333333333,3.024361839023785
ZNF44,6.0,3.0341298104474705
CCDC132,2.6666666666666665,3.487164291487734
EIF3L,4.0,2.6145509316961526
RAB11FIP1,1.0,2.402970541379042
DFNB31,3.0,2.170424800238499
CLVS2,2.0,2.640923297433747
DES,4.0,2.0679460909158727
JAK1,8.0,2.7026437829709655
SLC10A2,5.0,2.651992511796866
ATP10D,6.0,2.982452224033465
DACT3,0.0,2.185362560793697
CYP46A1,7.0,2.152663207987019
PDE4B,1.75,3.1027030000465134
IPP,5.0,3.591009716894814
MAGIX,3.0,2.4697286591115315
SCN3A,6.333333333333333,3.117045593180649
CDK2,2.0,2.45498163558855
FCGR3A,6.0,2.622010641692211
GPHB5,2.0,
EPB41L3,3.1666666666666665,2.684614202702699
PKN1,0.3333333333333333,2.0502989877486737
OR51A2,5.0,2.6320492561538087
OR11H6,4.0,2.702173273001905
TOX2,5.0,2.240993333760641
FGFRL1,2.0,2.0340826957609073
PSPC1,4.0,3.0127846486852414
CMYA5,3.4,3.550016035299817
FOXP3,3.0,2.3599669254258635
SIM2,1.5,2.1168686608983083
C16orf46,1.0,2.767188132273687
IGLV1-50,2.0,
AIFM1,0.5,3.1005587945411954
DPRX,6.0,2.8221724400090116
PNPLA5,2.0,2.0939173031609033
SYCE2,3.0,2.6499668186699115
FRYL,3.0,3.3258290990348502
MID1IP1,2.0,2.200879373791888
STAP2,2.0,2.287956855946387
FFAR2,0.0,1.935257690077446
PARP14,3.5,3.043574364305491
TRBV6-1,2.0,
SCG5,0.0,3.274294116287577
FBP1,0.0,2.256755436573366
CRTAP,1.0,2.3330756490481677
AFMID,4.0,2.41410949939056
FMN2,2.75,2.772239038970073
YRDC,3.0,2.221767247303153
ELSPBP1,2.0,3.0059847437386003
ABLIM3,2.5,2.5605530348042214
RFX4,6.0,2.7575533311595586
RPGRIP1L,9.0,3.6375251338277548
WDR24,4.0,2.1964807927213115
B3GNT2,2.0,2.6339750683194527
KRT85,6.0,2.1565960059661267
NELFB,5.0,1.9264446806410067
DNAI2,1.0,2.381596346857822
TRAP1,1.0,2.1944570072467657
EDN1,1.0,2.975338245580382
ZNF765,5.0,2.5290700639951584
PIGW,1.0,2.9327602352204
TPX2,6.0,3.112365064272563
GSTP1,2.0,1.9062194630770881
CHST1,1.5,1.8397285351159662
GOLGB1,3.25,3.382774780216576
KRT18,0.0,2.181861942818743
ZNF619,2.0,3.051905111266875
EHBP1L1,3.0,2.506155784193664
COL4A3BP,7.0,3.293802989245231
HMGCL,2.0,2.5350855159191017
LHFPL3,2.0,2.307878618164613
PRAM1,3.0,2.369017838171562
SLC5A1,4.0,2.326143772830023
ERP44,5.0,3.7243273601582776
GRASP,2.0,2.0622979946806934
AP2A2,2.0,2.254232423891105
PTOV1,0.25,2.0968896969117146
MXRA8,4.0,1.9977724203326719
CHFR,3.0,2.555192274542036
FGFR2,5.0,2.6665550236005
SBF2,6.5,3.188103609252383
MPP5,6.0,3.6821492580912865
MED12L,2.7142857142857144,3.0201973816888303
PAXIP1,2.0,3.23137670384888
NAP1L1,4.0,4.114304873041847
CLPB,2.0,2.403944097249786
SLAMF7,1.0,2.473181356732686
RFX6,5.0,3.1562938799713
RP11-6F2.3,3.0,
SEC13,3.0,2.5852880107828593
PDP1,4.0,3.143917986061695
TNFAIP8L2,2.0,2.1742634054780234
SH3GL2,5.0,3.0025790316056398
CCDC39,2.3333333333333335,3.5208084304978398
TRBV7-4,4.0,
RP11-430N14.4,3.0,
DARC,8.0,2.17968629290557
NDUFAF5,3.0,3.2535585802708056
WIPF3,5.0,2.6244390624408704
HERC5,1.0,3.182075474323733
GAGE2B,2.0,4.270530230351614
HS3ST3A1,2.0,1.9188558632932204
TIAM1,1.6666666666666667,2.5720171883812184
POLA2,2.0,2.6719916903652514
HAAO,2.0,2.2135879401351977
LMAN2L,2.5,2.4652665314194127
TRPM1,1.0,2.650289886191225
SPTA1,2.3076923076923075,2.86834110939278
ARHGAP15,3.5,3.0989978393175095
ZEB1,1.3333333333333333,3.6537455323256287
FBLN1,7.0,2.4435607643606243
CKMT1B,3.0,2.6751894322859875
PDGFD,9.0,2.9295991667205286
DNAH12,3.0,3.621773496231351
SLC5A2,8.0,2.1363013587352344
FBXO33,2.0,2.551490144276396
GALNT11,4.0,2.9586720102304462
AGAP5,3.0,2.6395574831028425
SMARCC1,2.0,3.364372500583362
PLEKHA5,1.6666666666666667,3.5334371203084043
FAM63B,1.0,2.7270195147678375
ZNF281,5.0,3.315132163371308
IER2,0.0,2.1100752412935626
COG7,2.0,2.3804915649716674
ZFYVE20,1.0,2.709826973341175
PCDHB12,2.142857142857143,1.951181755934983
UBE2S,0.0,1.9715092945231982
TCEA2,4.0,2.2532164246640773
SLC38A7,1.0,2.0941992450593885
ZNF16,1.5,3.2028146835518614
SLFN12,4.0,3.1635156681972854
CGRRF1,2.0,2.6825459817766744
GRID1,4.5,2.2323236976310006
UCHL5,5.0,3.6790897261750293
MATN3,2.0,2.655705968580201
SUV39H1,6.0,2.3085618659183083
RP11-136K7.2,2.0,
MYH7,3.75,2.1616597111157456
FCGRT,2.0,2.1755005444948394
VPS37B,2.0,2.384918996370885
ATN1,2.6666666666666665,2.5906772964204836
ANXA2R,0.5,3.137240254446973
RALYL,8.0,3.0570211810377144
ZNF445,3.0,3.1559216472216556
TMEM60,3.0,2.739918960447608
NFATC4,4.0,2.4636729224664853
WNT7B,2.0,2.1863394945983323
ZNF69,2.0,3.656810557901949
FCGR1B,5.0,2.725989144202783
ATL3,5.0,3.117265245999853
L2HGDH,6.0,3.2023771060557684
CHCHD4,4.0,3.4137647887839777
ZFY,2.0,3.818508978874273
BMP8A,2.0,2.0557075802013305
ARIH2,1.0,3.0900398198255603
LARP7,2.0,3.746630221372036
SGK223,5.0,2.348056359198516
DMRT3,4.0,2.3227776164389264
PIGB,4.0,2.684132520638397
RP11-1407O15.2,3.0,4.011746841185192
CYP2J2,4.0,2.684796275717143
DIP2A,10.0,2.2860206352043018
TNFSF12-TNFSF13,1.0,2.290477833308077
GAS2L3,6.0,3.6305989921978226
ZNF143,3.0,3.4640174692859644
FASTKD1,4.0,3.4896202685863495
FES,6.0,2.159162701324559
ZRANB1,5.0,3.692364914608336
ZNF227,3.0,4.224993286813154
PPP2R1B,4.0,3.0628609709212253
CCDC25,3.0,3.3256696311191742
CDK14,4.0,2.954778452400508
AFF3,2.2857142857142856,2.637023490431169
SOX7,6.0,2.1786590561453205
HEATR5A,8.0,3.4617328117880075
ARHGAP25,6.0,2.5699891488012487
H3F3B,4.0,2.158083503590529
ZNF197,5.0,2.8150043497137003
TUSC3,5.0,2.9620123038828763
ICT1,2.0,2.6023568470479206
FAM189A2,6.0,2.5353198133288446
PDLIM7,3.0,2.2790614051893456
YIF1B,1.0,1.9651667858930248
RPA1,3.0,2.8101783806378138
CTC-340A15.2,2.0,
HARBI1,0.6666666666666666,2.92463338620279
PLEKHM3,5.0,2.7199526607759172
IQCD,4.0,2.4126281138828496
C11orf68,4.0,2.3939340208563067
C19orf66,2.0,2.3719292952512214
FAM115A,0.5,2.5047555847686804
ZNF792,6.0,3.0179089702203377
SH3GL1,2.0,2.0471632026771776
ANXA3,2.0,3.1147929378818513
TMEM91,3.0,2.792597469775862
C2orf54,0.5,1.8857419964813407
TRPM8,1.0,2.3295487796506635
SLC22A9,3.0,2.9778791864001573
GPANK1,2.0,2.7516216598632197
INSL4,0.0,2.8393608308403326
FSHR,5.0,2.5117932018681057
OR10H3,2.0,2.3691780059166803
PAPOLG,0.0,3.591555400371509
SAPCD2,3.0,1.9472447612606292
SLC39A1,2.0,1.9505919131014824
PUS3,2.0,3.468598581908567
TRBV6-6,3.0,
EXD1,4.0,3.0243646445119197
TRIM68,6.0,2.7342331538913007
GDF6,7.0,2.114418518366739
CSF1,1.0,2.536508362505987
PRG3,2.0,2.7641839893481785
PRKCH,1.5,2.578495065041242
SYNPO,1.0,2.3572861084970103
ZNF655,5.0,2.893943326905777
FAM179A,1.5,2.1713317511374233
RPS20,2.0,3.3025935673851907
ITGA10,3.0,2.581928735833557
LGI1,2.0,3.0403949047959813
BTN2A1,5.0,2.2756467568589014
EPN3,1.5,2.1575206824179927
SLC30A9,3.0,3.4597884818076796
CCDC33,1.0,2.327296290604258
SULT1A2,3.0,2.7062791279312783
TFAP2D,3.0,2.6223863444903017
LEPREL4,2.0,2.139356389175125
TCEAL6,4.0,3.2894722934982252
PTX3,5.0,2.5530797779422905
MICAL3,4.333333333333333,2.384432353846729
PAQR8,0.0,2.2021937974778467
GPRASP2,2.0,3.3803102725109917
KCNA1,2.5,2.126564696688466
SNORD115-33,8.0,
KRT15,3.0,2.438261673647103
ASAH1,2.0,3.0118789288749275
ANKFY1,3.0,2.4799597274838634
GTF3C2,2.0,2.9161539985768594
LAMB3,3.0,2.555344588079796
PCCB,3.0,2.759800423336946
ARPC5,2.0,2.5230384363795477
RGL4,8.0,2.4999466766743534
ENDOD1,0.5,2.4786708109901125
ZBTB18,0.5,2.5739731900220817
SCNN1D,2.0,2.1827048664183963
KIAA1109,3.4,3.837986615654129
SFT2D2,0.0,2.5641134258730487
STRN,3.0,3.2682607055569353
OR10T2,4.0,2.2585908923967057
TNNI3K,4.0,3.2204909440885006
NUGGC,0.5,2.5170959171032052
